School,Abbrev. Name,h_a,set,points,Date,Time,Site,Attendance,url
"St. Lawrence
                                     ",       SLU,Home,1,16,2013-11-08,05:00:00,"                 Clarkson University (Alumni Gymnasium)

",150,https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball
"St. Lawrence
                                     ",       SLU,Home,2,15,2013-11-08,05:00:00,"                 Clarkson University (Alumni Gymnasium)

",150,https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball
"St. Lawrence
                                     ",       SLU,Home,3,21,2013-11-08,05:00:00,"                 Clarkson University (Alumni Gymnasium)

",150,https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball
"Union College
                                       ",     UNION,Away,1,25,2013-11-08,05:00:00,"                 Clarkson University (Alumni Gymnasium)

",150,https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball
"Union College
                                       ",     UNION,Away,2,25,2013-11-08,05:00:00,"                 Clarkson University (Alumni Gymnasium)

",150,https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball
"Union College
                                       ",     UNION,Away,3,25,2013-11-08,05:00:00,"                 Clarkson University (Alumni Gymnasium)

",150,https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball
"St. Lawrence
                                     ",       SLU,Home,1,25,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"St. Lawrence
                                     ",       SLU,Home,2,20,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"St. Lawrence
                                     ",       SLU,Home,3,17,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"St. Lawrence
                                     ",       SLU,Home,4,21,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"Kean
                                      ",      KEAN,Away,1,23,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"Kean
                                      ",      KEAN,Away,2,25,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"Kean
                                      ",      KEAN,Away,3,25,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"Kean
                                      ",      KEAN,Away,4,25,2013-08-30,NA,"                 Oneonta, N.Y. ()

",50,https://saintsathletics.com/boxscore.aspx?id=3640&path=wvball
"Oswego State
                                        ",    OSVB13,Home,1,18,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"Oswego State
                                        ",    OSVB13,Home,2,26,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"Oswego State
                                        ",    OSVB13,Home,3,16,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"Oswego State
                                        ",    OSVB13,Home,4,20,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,24,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,4,25,2013-08-30,16:00:00,"                 Canton, NY (Roos House)

",106,https://rooathletics.com/boxscore.aspx?id=1201&path=wvball
"Wells College
                                      ",      WELW,Home,1,17,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"Wells College
                                      ",      WELW,Home,2,25,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"Wells College
                                      ",      WELW,Home,3,11,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"Wells College
                                      ",      WELW,Home,4,16,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,21,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,4,25,2013-08-31,16:15:00,"                 Canton, NY (Roos House)

",87,https://rooathletics.com/boxscore.aspx?id=1202&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,23,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,21,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,24,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Lawrence
                                     ",       SLU,Away,1,25,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Lawrence
                                     ",       SLU,Away,2,25,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Lawrence
                                     ",       SLU,Away,3,26,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Michael's
                                     ",       STM,Home,1,17,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"St. Michael's
                                     ",       STM,Home,2,16,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"St. Michael's
                                     ",       STM,Home,3,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"St. Michael's
                                     ",       STM,Home,4,22,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,22,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,4,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,25,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,25,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Away,1,11,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Away,2,19,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Away,3,19,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"Norwich
                                     ",       NOR,Home,1,7,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"Norwich
                                     ",       NOR,Home,2,12,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
