Set,K,E,TA,%,team,Date,Time,Site,Attendance,url
Set #1,12,3,40,0.225,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #2,8,9,38,-0.026,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #3,9,6,26,0.115,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #4,3,8,24,-0.208,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #1,8,6,36,0.056,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #2,11,10,39,0.026,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #3,11,3,24,0.333,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #4,10,8,33,0.061,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #1,10,4,30,.200,Clarkson University,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #2,12,8,34,.118,Clarkson University,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
